Record Length,Analog:10000
Sample Interval,5.000000E-04
Vertical Units,V,
Vertical Scale,+1.000000E-01
Vertical Offset,+6.666667E-03
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0X807112
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
+1.8191976048E-01,+8.833334E-02
+1.8241976048E-01,+6.229167E-02
+1.8291976048E-01,-1.562500E-02
+1.8341976048E-01,-3.875000E-02
+1.8391976048E-01,-9.020834E-02
+1.8441976048E-01,+8.541667E-03
+1.8491976048E-01,+1.097917E-01
+1.8541976048E-01,+1.812500E-02
+1.8591976048E-01,-1.416667E-02
+1.8641976048E-01,-6.812500E-02
+1.8691976048E-01,-6.833334E-02
+1.8741976048E-01,+5.145834E-02
+1.8791976048E-01,+9.729167E-02
+1.8841976048E-01,-4.166667E-03
+1.8891976048E-01,-1.770833E-02
+1.8941976048E-01,-9.229167E-02
+1.8991976048E-01,-3.145833E-02
+1.9041976048E-01,+8.875000E-02
+1.9091976048E-01,+5.625000E-02
+1.9141976048E-01,-9.166667E-03
+1.9191976048E-01,-3.958333E-02
+1.9241976048E-01,-9.291667E-02
+1.9291976048E-01,+9.375000E-03
+1.9341976048E-01,+1.058333E-01
+1.9391976048E-01,+1.770833E-02
+1.9441976048E-01,-5.416667E-03
+1.9491976048E-01,-7.041667E-02
+1.9541976048E-01,-6.895833E-02
+1.9591976048E-01,+5.166667E-02
+1.9641976048E-01,+8.937500E-02
+1.9691976048E-01,-2.083333E-03
+1.9741976048E-01,-1.333333E-02
+1.9791976048E-01,-9.395833E-02
+1.9841976048E-01,-2.958333E-02
+1.9891976048E-01,+8.708333E-02
+1.9941976048E-01,+5.125000E-02
+1.9991976048E-01,-1.875000E-03
+2.0041976048E-01,-3.875000E-02
+2.0091976048E-01,-9.479167E-02
+2.0141976048E-01,+1.208333E-02
+2.0191976048E-01,+9.958334E-02
+2.0241976048E-01,+1.562500E-02
+2.0291976048E-01,+1.666667E-03
+2.0341976048E-01,-7.375000E-02
+2.0391976048E-01,-6.854167E-02
+2.0441976048E-01,+5.375000E-02
+2.0491976048E-01,+8.437500E-02
+2.0541976048E-01,+1.875000E-03
+2.0591976048E-01,-8.750000E-03
+2.0641976048E-01,-9.875000E-02
+2.0691976048E-01,-2.854167E-02
+2.0741976048E-01,+8.520833E-02
+2.0791976048E-01,+4.583333E-02
+2.0841976048E-01,+4.791667E-03
+2.0891976048E-01,-3.812500E-02
+2.0941976048E-01,-9.583334E-02
+2.0991976048E-01,+1.416667E-02
+2.1041976048E-01,+9.500000E-02
+2.1091976048E-01,+1.625000E-02
+2.1141976048E-01,+7.083334E-03
+2.1191976048E-01,-7.729167E-02
+2.1241976048E-01,-6.708334E-02
+2.1291976048E-01,+5.437500E-02
+2.1341976048E-01,+7.625000E-02
+2.1391976048E-01,+7.500000E-03
+2.1441976048E-01,-4.791667E-03
+2.1491976048E-01,-1.014583E-01
+2.1541976048E-01,-2.520833E-02
+2.1591976048E-01,+8.437500E-02
+2.1641976048E-01,+3.937500E-02
+2.1691976048E-01,+1.291667E-02
+2.1741976048E-01,-4.062500E-02
+2.1791976048E-01,-9.708334E-02
+2.1841976048E-01,+1.750000E-02
+2.1891976048E-01,+8.979167E-02
+2.1941976048E-01,+1.645833E-02
+2.1991976048E-01,+1.583333E-02
+2.2041976048E-01,-8.145834E-02
+2.2091976048E-01,-6.458333E-02
+2.2141976048E-01,+5.729167E-02
+2.2191976048E-01,+6.604167E-02
+2.2241976048E-01,+1.145833E-02
+2.2291976048E-01,-4.583334E-03
+2.2341976048E-01,-1.047917E-01
+2.2391976048E-01,-2.208333E-02
+2.2441976048E-01,+8.250000E-02
+2.2491976048E-01,+3.479167E-02
+2.2541976048E-01,+2.125000E-02
+2.2591976048E-01,-4.437500E-02
+2.2641976048E-01,-9.625001E-02
+2.2691976048E-01,+1.979167E-02
+2.2741976048E-01,+8.312500E-02
+2.2791976048E-01,+1.604167E-02
+2.2841976048E-01,+2.125000E-02
+2.2891976048E-01,-8.645833E-02
+2.2941976048E-01,-6.229167E-02
+2.2991976048E-01,+5.750000E-02
+2.3041976048E-01,+5.979167E-02
+2.3091976048E-01,+1.854167E-02
+2.3141976048E-01,-2.291667E-03
+2.3191976048E-01,-1.079167E-01
+2.3241976048E-01,-1.937500E-02
+2.3291976048E-01,+7.833333E-02
+2.3341976048E-01,+2.958333E-02
+2.3391976048E-01,+2.833333E-02
+2.3441976048E-01,-4.604167E-02
+2.3491976048E-01,-9.625001E-02
+2.3541976048E-01,+2.270833E-02
+2.3591976048E-01,+7.583334E-02
+2.3641976048E-01,+1.791667E-02
+2.3691976048E-01,+2.729167E-02
+2.3741976048E-01,-9.145834E-02
+2.3791976048E-01,-6.062500E-02
+2.3841976048E-01,+5.770833E-02
+2.3891976048E-01,+5.166667E-02
+2.3941976048E-01,+2.291667E-02
+2.3991976048E-01,-6.250000E-04
+2.4041976048E-01,-1.106250E-01
+2.4091976048E-01,-1.500000E-02
+2.4141976048E-01,+7.645833E-02
+2.4191976048E-01,+2.729167E-02
+2.4241976048E-01,+3.687500E-02
+2.4291976048E-01,-5.145834E-02
+2.4341976048E-01,-9.500000E-02
+2.4391976048E-01,+2.500000E-02
+2.4441976048E-01,+6.812500E-02
+2.4491976048E-01,+1.979167E-02
+2.4541976048E-01,+3.416667E-02
+2.4591976048E-01,-9.500000E-02
+2.4641976048E-01,-5.708333E-02
+2.4691976048E-01,+5.875000E-02
+2.4741976048E-01,+4.500000E-02
+2.4791976048E-01,+2.895833E-02
+2.4841976048E-01,-1.875000E-03
+2.4891976048E-01,-1.116667E-01
+2.4941976048E-01,-1.250000E-02
+2.4991976048E-01,+7.250001E-02
+2.5041976048E-01,+2.437500E-02
+2.5091976048E-01,+4.437500E-02
+2.5141976048E-01,-5.416667E-02
+2.5191976048E-01,-9.354167E-02
+2.5241976048E-01,+2.791667E-02
+2.5291976048E-01,+6.208333E-02
+2.5341976048E-01,+2.041667E-02
+2.5391976048E-01,+3.729167E-02
+2.5441976048E-01,-9.875000E-02
+2.5491976048E-01,-5.416667E-02
+2.5541976048E-01,+5.729167E-02
+2.5591976048E-01,+4.020834E-02
+2.5641976048E-01,+3.729167E-02
+2.5691976048E-01,-8.333334E-04
+2.5741976048E-01,-1.125000E-01
+2.5791976048E-01,-1.020833E-02
+2.5841976048E-01,+6.729167E-02
+2.5891976048E-01,+2.104167E-02
+2.5941976048E-01,+5.187500E-02
+2.5991976048E-01,-5.708333E-02
+2.6041976048E-01,-9.312500E-02
+2.6091976048E-01,+2.895833E-02
+2.6141976048E-01,+5.604167E-02
+2.6191976048E-01,+2.416667E-02
+2.6241976048E-01,+4.125000E-02
+2.6291976048E-01,-1.004167E-01
+2.6341976048E-01,-5.250000E-02
+2.6391976048E-01,+5.562500E-02
+2.6441976048E-01,+3.354167E-02
+2.6491976048E-01,+4.229167E-02
+2.6541976048E-01,-1.666667E-03
+2.6591976048E-01,-1.147917E-01
+2.6641976048E-01,-8.333334E-03
+2.6691976048E-01,+6.312500E-02
+2.6741976048E-01,+1.958333E-02
+2.6791976048E-01,+5.791667E-02
+2.6841976048E-01,-5.895833E-02
+2.6891976048E-01,-9.187500E-02
+2.6941976048E-01,+2.875000E-02
+2.6991976048E-01,+5.020833E-02
+2.7041976048E-01,+2.562500E-02
+2.7091976048E-01,+4.479167E-02
+2.7141976048E-01,-1.025000E-01
+2.7191976048E-01,-5.020833E-02
+2.7241976048E-01,+5.395833E-02
+2.7291976048E-01,+2.958333E-02
+2.7341976048E-01,+4.833334E-02
+2.7391976048E-01,-2.083333E-04
+2.7441976048E-01,-1.137500E-01
+2.7491976048E-01,-7.500000E-03
+2.7541976048E-01,+5.854167E-02
+2.7591976048E-01,+1.895833E-02
+2.7641976048E-01,+6.270833E-02
+2.7691976048E-01,-6.000000E-02
+2.7741976048E-01,-9.041667E-02
+2.7791976048E-01,+2.875000E-02
+2.7841976048E-01,+4.458334E-02
+2.7891976048E-01,+2.979167E-02
+2.7941976048E-01,+4.895834E-02
+2.7991976048E-01,-1.052083E-01
+2.8041976048E-01,-4.895834E-02
+2.8091976048E-01,+5.208334E-02
+2.8141976048E-01,+2.458333E-02
+2.8191976048E-01,+5.375000E-02
+2.8241976048E-01,+8.333334E-04
+2.8291976048E-01,-1.135417E-01
+2.8341976048E-01,-7.083334E-03
+2.8391976048E-01,+5.416667E-02
+2.8441976048E-01,+1.833333E-02
+2.8491976048E-01,+6.708334E-02
+2.8541976048E-01,-6.104167E-02
+2.8591976048E-01,-8.979167E-02
+2.8641976048E-01,+2.729167E-02
+2.8691976048E-01,+3.916667E-02
+2.8741976048E-01,+3.187500E-02
+2.8791976048E-01,+5.250000E-02
+2.8841976048E-01,-1.039583E-01
+2.8891976048E-01,-4.854167E-02
+2.8941976048E-01,+4.916667E-02
+2.8991976048E-01,+2.187500E-02
+2.9041976048E-01,+5.666667E-02
+2.9091976048E-01,+2.500000E-03
+2.9141976048E-01,-1.137500E-01
+2.9191976048E-01,-6.666667E-03
+2.9241976048E-01,+4.979167E-02
+2.9291976048E-01,+1.791667E-02
+2.9341976048E-01,+7.250001E-02
+2.9391976048E-01,-5.875000E-02
+2.9441976048E-01,-8.895834E-02
+2.9491976048E-01,+2.645833E-02
+2.9541976048E-01,+3.395833E-02
